"Inches","Ram","Weight","Price","CpuType","HasSSD","GroupedOpSys"
13.3,8,1.37,1167.59087436798,"i5","SSD","Mac"
13.3,8,1.34,783.460457721078,"i5","NoSSD","Mac"
15.4,16,1.83,2211.48434650182,"i7","SSD","Mac"
13.3,8,1.37,1571.90611336211,"i5","SSD","Mac"
15.4,16,2.04,1865.06538335081,"i7","NoSSD","Mac"
13.3,8,1.34,1009.85119403009,"i5","NoSSD","Mac"
14,16,1.3,1302.94945635194,"i7","SSD","Windows"
14,8,1.6,671.084335378591,"i5","SSD","Windows"
15.4,16,1.83,2126.52681271909,"i7","SSD","Mac"
15.6,4,2.2,434.810357039453,"i3","SSD","Windows"
13.3,8,1.37,1323.47417855735,"i5","SSD","Mac"
15.6,8,2.2,649.295882931234,"i7","SSD","Windows"
15.4,16,1.83,2490.85588378183,"i7","SSD","Mac"
13.3,8,1.22,853.235797838494,"i5","SSD","Windows"
15.6,8,2.5,870.666559796379,"i5","SSD","Windows"
13.3,8,1.62,713.78970217541,"i5","SSD","Windows"
15.6,8,1.91,574.343606512326,"i7","SSD","Windows"
15.6,4,2.3,364.860709302459,"i3","NoSSD","Windows"
13.3,8,1.35,957.820369585807,"i5","NoSSD","Mac"
15.6,8,2.2,697.230478315419,"i5","SSD","Windows"
15.6,8,1.88,1131.25645106677,"i7","SSD","Windows"
17.3,8,2.5,780.898135713269,"i5","NoSSD","Windows"
13.3,16,1.2,1628.9047049644,"i7","SSD","Windows"
13.3,8,1.35,869.795021698485,"i5","NoSSD","Mac"
15.6,4,2.1,319.854481927198,"i3","NoSSD","Linux"
17.3,8,2.8,853.235797838494,"i5","SSD","Windows"
15.6,4,1.86,425.911953059953,"i5","NoSSD","Windows"
15.6,8,2.1,766.081988049067,"i5","SSD","Windows"
15.6,4,2,339.028320080872,"i3","NoSSD","Linux"
15.6,16,2.65,1306.43560874352,"i7","SSD","Windows"
15.6,8,2.3,455.805709817726,"i5","NoSSD","Linux"
15.6,4,2.2,594.388982763895,"i5","SSD","Windows"
17.3,12,2.77,870.666559796379,"i5","NoSSD","Windows"
13.3,8,1.37,1236.71256091197,"i5","SSD","Mac"
15.6,4,2.3,556.912844554441,"i5","SSD","Windows"
15.6,8,2.2,732.963540329084,"i7","SSD","Windows"
13.3,8,1.49,961.306521977384,"i7","SSD","Windows"
15.6,4,2.4,334.670629591401,"i3","NoSSD","Windows"
15.6,8,2.13,669.166951563223,"i7","SSD","Windows"
15.6,4,1.91,382.605224975586,"i3","SSD","Windows"
15.6,4,2,510.886917604644,"i5","SSD","Windows"
17.3,16,2.43,2134.39680174308,"i7","SSD","Windows"
15.6,4,2,361.688310626124,"i3","SSD","Linux"
17.3,16,2.8,1132.12798916466,"i7","SSD","Windows"
14,8,1.7,766.081988049067,"i5","SSD","Windows"
14,8,1.4,820.117350118512,"i5","SSD","Windows"
15.6,8,1.86,601.361287547049,"i5","SSD","Windows"
15.6,16,1.8,1728.26004812434,"i7","SSD","Windows"
15.6,4,1.86,382.335048165239,"i3","NoSSD","Windows"
15.6,4,1.9,478.474415743956,"i5","NoSSD","Windows"
17.3,12,3,827.089654901666,"i7","NoSSD","Linux"
13.5,4,1.252,949.104988606864,"i5","SSD","Windows"
13.3,64,1.4,832.318883489031,"i7","SSD","Windows"
15.6,8,2.2,758.238145168018,"i7","SSD","Windows"
17.3,8,2.7,954.33421719423,"i5","SSD","Windows"
14,8,2.1,339.028320080872,"i3","NoSSD","Windows"
15.6,8,2.2,827.089654901666,"i7","NoSSD","Windows"
15.6,8,2.02,745.165073699604,"i7","SSD","Windows"
15.6,4,2.2,461.915191883965,"i3","NoSSD","Windows"
17.3,8,2.5,851.492721642705,"i5","SSD","Windows"
15.6,8,1.88,955.345201387787,"i5","SSD","Windows"
12,8,0.92,1316.02252782035,"i5","SSD","Mac"
14,8,1.63,749.522764189075,"i5","SSD","Windows"
15.6,16,2.65,1175.70489405938,"i7","SSD","Windows"
15.6,8,1.83,609.205130428097,"i7","SSD","Windows"
15.6,8,1.96,522.042605257691,"i5","SSD","Windows"
15.6,16,2.2,1262.8587038488,"i7","SSD","Windows"
13.3,8,1.21,1437.16632342766,"i7","SSD","Windows"
15.6,2,2.2,600.489749449154,"i7","NoSSD","Windows"
13.3,16,1.49,1043.23110317945,"i7","SSD","Windows"
15.6,8,2.65,1041.48802698366,"i5","SSD","Windows"
14,8,1.25,914.243464691093,"i7","SSD","Windows"
13.3,8,1.5,738.19276891645,"i5","SSD","Windows"
15.6,8,2.2,522.835704926775,"i7","NoSSD","Linux"
15.6,4,2.2,422.695977478723,"i3","SSD","Linux"
15.6,6,2,502.877482484996,"i3","SSD","Windows"
15.6,12,2.62,1088.55108426995,"i7","SSD","Windows"
15.6,8,1.91,626.635892385983,"i7","SSD","Windows"
15.6,8,2.2,563.885149337595,"i5","NoSSD","Linux"
13.3,8,1.38,975.251131543692,"i7","SSD","Windows"
13.5,8,1.252,1167.86105117833,"i5","SSD","Windows"
14,6,1.58,574.343606512326,"i5","SSD","Windows"
15.6,4,1.85,361.601156816334,"i3","NoSSD","Windows"
14,8,1.3,1039.74495078787,"i7","SSD","Windows"
15.6,16,2.2,1132.12798916466,"i7","SSD","Windows"
14,8,1.58,1289.87638488352,"i7","SSD","Windows"
15.6,16,1.5,1099.88107954257,"i7","SSD","Windows"
13.3,8,1.23,1201.8510369962,"i7","SSD","Windows"
13.3,8,1.37,1219.28179895409,"i5","SSD","Windows"
14,4,1.63,629.250506679666,"i5","NoSSD","Windows"
13.3,8,1.21,1419.73556146977,"i5","SSD","Windows"
14,8,1.63,944.747298117393,"i7","SSD","Windows"
15.6,8,2.16,985.125658192834,"i7","SSD","Windows"
17.3,4,2,491.54748721237,"i3","NoSSD","Windows"
15.6,8,1.7,974.379593445798,"i7","SSD","Windows"
15.6,6,2.1,417.466748891357,"i3","NoSSD","Windows"
15.6,16,1.8,1953.55264643001,"i7","SSD","Windows"
17.3,16,2.5,1107.72492242362,"i7","SSD","Windows"
14,8,1.63,707.68893549015,"i5","NoSSD","Windows"
17.3,16,2.8,1216.66718466041,"i7","SSD","Windows"
17.3,8,2.5,808.787354845886,"i5","SSD","Windows"
15.6,8,2.36,556.904129173462,"i5","NoSSD","Windows"
15.6,4,2.2,391.320605954529,"i3","NoSSD","Windows"
14,8,1.6,770.439678538538,"i7","SSD","Windows"
15.6,4,7.2,498.519791995525,"i3","SSD","Windows"
15.6,8,2.05,521.179782540776,"i7","NoSSD","Windows"
14,8,1.63,861.079640719542,"i7","SSD","Windows"
17.3,8,3,817.502735824829,"i5","SSD","Windows"
13.3,4,1.32,609.205130428097,"i5","SSD","Windows"
17.3,4,3,570.857454120749,"i3","NoSSD","Windows"
14,8,1.75,972.653948011967,"i5","SSD","Windows"
15.6,4,2.1,524.665934932353,"i5","NoSSD","Windows"
14,8,1.25,957.820369585807,"i7","SSD","Windows"
15.6,4,2.1,389.57752975874,"i3","NoSSD","Windows"
15.6,16,2.56,1088.7776841754,"i7","SSD","Windows"
15.6,8,2.62,783.512750006952,"i7","NoSSD","Windows"
15.6,4,1.9,434.025972751348,"i5","SSD","Windows"
17.3,16,2.8,1647.20700502018,"i7","SSD","Windows"
14,4,1.48,943.004221921604,"i5","SSD","Windows"
15.6,6,1.91,539.482082596555,"i5","SSD","Windows"
14,4,1.74,548.197463575498,"i3","SSD","Windows"
13.3,8,1.1,1146.07259873097,"i5","SSD","Windows"
15.6,8,1.56,914.243464691093,"i7","SSD","Windows"
15.6,4,2.1,389.57752975874,"i3","NoSSD","Windows"
17.3,4,3,701.58816880489,"i5","SSD","Windows"
15.6,8,2.13,634.479735267031,"i5","SSD","Windows"
15.6,16,2.5,940.389607627921,"i7","SSD","Windows"
15.6,16,2.4,1567.8970381118,"i7","SSD","Windows"
15.6,8,2.56,924.257437435898,"i7","SSD","Windows"
17.3,8,3,744.29353560171,"i5","SSD","Windows"
13.3,4,1.49,657.139725812282,"i5","NoSSD","Windows"
13,8,1.05,1175.70489405938,"i5","SSD","Windows"
17.3,6,2.71,609.205130428097,"i5","NoSSD","Windows"
15.6,4,5.4,426.1821298703,"i3","NoSSD","Windows"
17.3,8,2.5,804.429664356415,"i5","SSD","Windows"
15.6,8,2.3,400.035986933472,"i3","NoSSD","Windows"
15.6,4,2.1,391.320605954529,"i3","SSD","Windows"
18.4,32,4.4,2439.43513600607,"i7","SSD","Windows"
15.6,8,1.9,708.560473588044,"i5","SSD","Windows"
13.3,8,1.29,1306.43560874352,"i5","SSD","Windows"
15.6,16,2.02,914.243464691093,"i7","SSD","Linux"
13.3,8,1.23,1219.28179895409,"i5","SSD","Windows"
13.9,16,1.4,1611.47394300651,"i7","SSD","Windows"
15.6,8,2,691.129711630159,"i5","SSD","Windows"
17.3,16,2.77,1350.01251363823,"i7","SSD","Windows"
15.6,16,2.06,2089.07682065257,"i7","SSD","Windows"
13.3,8,1.12,861.951178817437,"i5","SSD","Windows"
17.3,8,2.8,945.618836215287,"i7","SSD","Windows"
13.3,8,1.62,731.220464133296,"i7","NoSSD","Windows"
17.3,8,2.5,796.585821475366,"i5","NoSSD","Windows"
17.3,32,3.49,5315.51085905717,"i7","SSD","Windows"
13.3,8,1.49,835.805035880608,"i5","SSD","Windows"
17.3,16,3.35,1201.8510369962,"i7","SSD","Windows"
17.3,8,2.5,910.757312299516,"i7","SSD","Windows"
15.6,16,2.65,1607.98779061493,"i7","SSD","Windows"
15.6,4,2.1,429.668282261877,"i5","SSD","Windows"
15.6,8,2.23,646.681268637551,"i7","NoSSD","Windows"
15.6,16,3.2,1524.32013321708,"i7","SSD","Windows"
15.6,6,2.3,382.605224975586,"i3","NoSSD","Windows"
13.3,8,1.21,1698.62775279594,"i7","SSD","Windows"
15.6,8,2.4,678.928178259639,"i7","NoSSD","Linux"
17.3,16,2.9,1226.25410373724,"i7","SSD","Windows"
13,8,1.05,1306.43560874352,"i7","SSD","Windows"
13.3,8,1.4,812.168922665716,"i7","SSD","Windows"
14,8,1.63,898.555778928996,"i7","SSD","Windows"
14,8,1.6,1001.39727448052,"i5","SSD","Windows"
13.3,16,1.62,1114.69722720678,"i7","SSD","Windows"
15.6,8,2.2,590.336330608686,"i5","SSD","Linux"
14,8,1.74,783.512750006952,"i5","SSD","Windows"
13.3,8,1.2,1187.9064274299,"i7","SSD","Windows"
15.6,8,2.1,692.001249728053,"i5","NoSSD","Windows"
17.3,16,4.42,2140.79389138162,"i7","SSD","Windows"
15.6,8,2.2,725.119697448036,"i7","SSD","Windows"
15.6,16,2.3,748.65994147216,"i7","NoSSD","Windows"
15.6,8,2,670.212797280696,"i5","SSD","Windows"
17.3,8,2.69,776.540445223798,"i5","SSD","Windows"
15.6,8,1.9,1105.98184622783,"i7","NoSSD","Windows"
15.6,4,2.37,347.734985678836,"i3","NoSSD","Windows"
15.6,16,3.2,1306.43560874352,"i7","SSD","Windows"
14,8,1.6,748.651226091181,"i5","SSD","Windows"
13.3,8,1.6,600.489749449154,"i5","SSD","Windows"
15.6,16,2.36,783.512750006952,"i7","SSD","Linux"
15.6,4,2.1,339.899858178767,"i3","NoSSD","Linux"
